sample_id,audio_path,speaker_id,gender,language,category,prompt_id,raw_text,normalized_text,transcript
CUS_S01_TA001,custom/speaker_01/tamil/CUS_S01_TA001.wav,S01,female,ta,tamil,TA001,எனக்கு ஒரு கார் புக் செய்ய வேண்டும்.,,
CUS_S01_TA002,custom/speaker_01/tamil/CUS_S01_TA002.wav,S01,female,ta,tamil,TA002,நான் சென்னை சென்ட்ரல் செல்ல வேண்டும்.,,
CUS_S01_TA003,custom/speaker_01/tamil/CUS_S01_TA003.wav,S01,female,ta,tamil,TA003,ஓட்டுநர் இன்னும் வரவில்லை.,,
CUS_S01_TA004,custom/speaker_01/tamil/CUS_S01_TA004.wav,S01,female,ta,tamil,TA004,என் வண்டி எப்போது வரும்?,,
CUS_S01_TA005,custom/speaker_01/tamil/CUS_S01_TA005.wav,S01,female,ta,tamil,TA005,பயணத்தை ரத்து செய்ய வேண்டும்.,,
CUS_S01_TA006,custom/speaker_01/tamil/CUS_S01_TA006.wav,S01,female,ta,tamil,TA006,என் இருப்பிடத்திற்கு வண்டியை அனுப்புங்கள்.,,
CUS_S01_TA007,custom/speaker_01/tamil/CUS_S01_TA007.wav,S01,female,ta,tamil,TA007,ஓட்டுநரின் தொலைபேசி எண்ணை சொல்லுங்கள்.,,
CUS_S01_TA008,custom/speaker_01/tamil/CUS_S01_TA008.wav,S01,female,ta,tamil,TA008,நான் விமான நிலையம் செல்ல வேண்டும்.,,
CUS_S01_EN001,custom/speaker_01/english/CUS_S01_EN001.wav,S01,female,en,english,EN001,I would like to book a cab.,,
CUS_S01_EN002,custom/speaker_01/english/CUS_S01_EN002.wav,S01,female,en,english,EN002,Please send a cab to my current location.,,
CUS_S01_EN003,custom/speaker_01/english/CUS_S01_EN003.wav,S01,female,en,english,EN003,I need to go to Chennai Central.,,
CUS_S01_EN004,custom/speaker_01/english/CUS_S01_EN004.wav,S01,female,en,english,EN004,I need a cab to the airport.,,
CUS_S01_EN005,custom/speaker_01/english/CUS_S01_EN005.wav,S01,female,en,english,EN005,When will my driver arrive?,,
CUS_S01_EN006,custom/speaker_01/english/CUS_S01_EN006.wav,S01,female,en,english,EN006,My driver has not arrived yet.,,
CUS_S01_EN007,custom/speaker_01/english/CUS_S01_EN007.wav,S01,female,en,english,EN007,Where is my cab right now?,,
CUS_S01_EN008,custom/speaker_01/english/CUS_S01_EN008.wav,S01,female,en,english,EN008,Please connect me with the driver.,,
CUS_S01_TG001,custom/speaker_01/tanglish/CUS_S01_TG001.wav,S01,female,ta-en,tanglish,TG001,எனக்கு ஒரு cab book பண்ணணும்.,,
CUS_S01_TG002,custom/speaker_01/tanglish/CUS_S01_TG002.wav,S01,female,ta-en,tanglish,TG002,Airportக்கு ஒரு cab வேணும்.,,
CUS_S01_TG003,custom/speaker_01/tanglish/CUS_S01_TG003.wav,S01,female,ta-en,tanglish,TG003,Driver இன்னும் வரல.,,
CUS_S01_TG004,custom/speaker_01/tanglish/CUS_S01_TG004.wav,S01,female,ta-en,tanglish,TG004,என் cab எப்ப வரும்?,,
CUS_S01_TG005,custom/speaker_01/tanglish/CUS_S01_TG005.wav,S01,female,ta-en,tanglish,TG005,Booking cancel பண்ணணும்.,,
CUS_S01_TG006,custom/speaker_01/tanglish/CUS_S01_TG006.wav,S01,female,ta-en,tanglish,TG006,என் current locationக்கு cab அனுப்புங்க.,,
CUS_S01_TG007,custom/speaker_01/tanglish/CUS_S01_TG007.wav,S01,female,ta-en,tanglish,TG007,Driver phone number share பண்ணுங்க.,,
CUS_S01_TG008,custom/speaker_01/tanglish/CUS_S01_TG008.wav,S01,female,ta-en,tanglish,TG008,Chennai Centralக்கு போகணும்.,,
CUS_S01_TG009,custom/speaker_01/tanglish/CUS_S01_TG009.wav,S01,female,ta-en,tanglish,TG009,Cab இப்ப எங்க இருக்கு?,,
CUS_S01_TG010,custom/speaker_01/tanglish/CUS_S01_TG010.wav,S01,female,ta-en,tanglish,TG010,Driverக்கு call பண்ண முடியுமா?,,
CUS_S01_TG011,custom/speaker_01/tanglish/CUS_S01_TG011.wav,S01,female,ta-en,tanglish,TG011,என் booking confirm ஆயிடுச்சா?,,
CUS_S01_TG012,custom/speaker_01/tanglish/CUS_S01_TG012.wav,S01,female,ta-en,tanglish,TG012,Driver வர இன்னும் எவ்வளவு time ஆகும்?,,
CUS_S01_TR001,custom/speaker_01/entity/CUS_S01_TR001.wav,S01,female,en,transportation_entity,TR001,Your cab will arrive at 7:30 PM.,,
CUS_S01_TR002,custom/speaker_01/entity/CUS_S01_TR002.wav,S01,female,ta-en,transportation_entity,TR002,உங்கள் cab காலை 6:15 மணிக்கு வரும்.,,
CUS_S01_TR003,custom/speaker_01/entity/CUS_S01_TR003.wav,S01,female,en,transportation_entity,TR003,Pickup time is 8:45 AM.,,
CUS_S01_TR004,custom/speaker_01/entity/CUS_S01_TR004.wav,S01,female,ta-en,transportation_entity,TR004,Driver மாலை 5:30 மணிக்கு வருவார்.,,
CUS_S01_TR005,custom/speaker_01/entity/CUS_S01_TR005.wav,S01,female,en,transportation_entity,TR005,"Your ride is scheduled for September 5, 2026.",,
CUS_S01_TR006,custom/speaker_01/entity/CUS_S01_TR006.wav,S01,female,ta-en,transportation_entity,TR006,உங்கள் booking 05/09/2026 அன்று உள்ளது.,,
CUS_S01_TR007,custom/speaker_01/entity/CUS_S01_TR007.wav,S01,female,en,transportation_entity,TR007,The estimated travel time is 45 minutes.,,
CUS_S01_TR008,custom/speaker_01/entity/CUS_S01_TR008.wav,S01,female,ta-en,transportation_entity,TR008,Driver இன்னும் 12 minutesல வந்துருவார்.,,
CUS_S01_TR009,custom/speaker_01/entity/CUS_S01_TR009.wav,S01,female,en,transportation_entity,TR009,Your total fare is ₹650.,,
CUS_S01_TR010,custom/speaker_01/entity/CUS_S01_TR010.wav,S01,female,ta-en,transportation_entity,TR010,உங்கள் fare ₹450 ஆகும்.,,
CUS_S01_TR011,custom/speaker_01/entity/CUS_S01_TR011.wav,S01,female,en,transportation_entity,TR011,The estimated fare is Rs 725.,,
CUS_S01_TR012,custom/speaker_01/entity/CUS_S01_TR012.wav,S01,female,ta-en,transportation_entity,TR012,"Airportக்கு total fare ₹1,250 ஆகும்.",,
CUS_S02_TA009,custom/speaker_02/tamil/CUS_S02_TA009.wav,S02,male,ta,tamil,TA009,வண்டி எங்கே இருக்கிறது?,,
