sample_id,audio_path,language,source,transcript
INDIC_EN_001,public/english_indictts/audio/INDIC_EN_001.wav,en,IndicTTS-English,the house of the strong wind.
INDIC_EN_002,public/english_indictts/audio/INDIC_EN_002.wav,en,IndicTTS-English,scattered bits of soot hanging loosely all.
INDIC_EN_003,public/english_indictts/audio/INDIC_EN_003.wav,en,IndicTTS-English,that could not be shut properly.
INDIC_EN_004,public/english_indictts/audio/INDIC_EN_004.wav,en,IndicTTS-English,a few dry leaves from the nearby.
INDIC_EN_005,public/english_indictts/audio/INDIC_EN_005.wav,en,IndicTTS-English,tree intruding into the room through the broken ventilator.
INDIC_EN_006,public/english_indictts/audio/INDIC_EN_006.wav,en,IndicTTS-English,panes the powerful bulb gradually losing its brightness.
INDIC_EN_007,public/english_indictts/audio/INDIC_EN_007.wav,en,IndicTTS-English,to become like a piece of ember and give.
INDIC_EN_008,public/english_indictts/audio/INDIC_EN_008.wav,en,IndicTTS-English,credence to the impending danger inside the room.
INDIC_EN_009,public/english_indictts/audio/INDIC_EN_009.wav,en,IndicTTS-English,all these happenings terrified me.
INDIC_EN_010,public/english_indictts/audio/INDIC_EN_010.wav,en,IndicTTS-English,making a clear impact on both my.
INDIC_EN_011,public/english_indictts/audio/INDIC_EN_011.wav,en,IndicTTS-English,mental and physical faculties.
INDIC_EN_012,public/english_indictts/audio/INDIC_EN_012.wav,en,IndicTTS-English,yet i did not look around me.
INDIC_EN_013,public/english_indictts/audio/INDIC_EN_013.wav,en,IndicTTS-English,for help and scream like a terrified child.
INDIC_EN_014,public/english_indictts/audio/INDIC_EN_014.wav,en,IndicTTS-English,for the last hopes of survival.
INDIC_EN_015,public/english_indictts/audio/INDIC_EN_015.wav,en,IndicTTS-English,because besides me there was no one else.
INDIC_EN_016,public/english_indictts/audio/INDIC_EN_016.wav,en,IndicTTS-English,in the lonely guest house at that hour of the night.
INDIC_EN_017,public/english_indictts/audio/INDIC_EN_017.wav,en,IndicTTS-English,there was no chance that bhabaprasad who stayed.
INDIC_EN_018,public/english_indictts/audio/INDIC_EN_018.wav,en,IndicTTS-English,in the small house at the other end of the compound.
INDIC_EN_019,public/english_indictts/audio/INDIC_EN_019.wav,en,IndicTTS-English,could hear me in the rainstorm.
INDIC_EN_020,public/english_indictts/audio/INDIC_EN_020.wav,en,IndicTTS-English,maybe he was not at home.
INDIC_EN_021,public/english_indictts/audio/INDIC_EN_021.wav,en,IndicTTS-English,could be that he would have some.
INDIC_EN_022,public/english_indictts/audio/INDIC_EN_022.wav,en,IndicTTS-English,cheap booze at the paan shop at the crossing.
INDIC_EN_023,public/english_indictts/audio/INDIC_EN_023.wav,en,IndicTTS-English,about a furlong or so away and spend the night there.
INDIC_EN_024,public/english_indictts/audio/INDIC_EN_024.wav,en,IndicTTS-English,i knew during our first meeting itself.
INDIC_EN_025,public/english_indictts/audio/INDIC_EN_025.wav,en,IndicTTS-English,from the way he walked.
INDIC_EN_026,public/english_indictts/audio/INDIC_EN_026.wav,en,IndicTTS-English,his physical appearance.
INDIC_EN_027,public/english_indictts/audio/INDIC_EN_027.wav,en,IndicTTS-English,his way of talking that he.
INDIC_EN_028,public/english_indictts/audio/INDIC_EN_028.wav,en,IndicTTS-English,had the habit of drinking.
INDIC_EN_029,public/english_indictts/audio/INDIC_EN_029.wav,en,IndicTTS-English,no one had to tell me about it.
INDIC_EN_030,public/english_indictts/audio/INDIC_EN_030.wav,en,IndicTTS-English,bhabaprasads drinking habit however did not affect his.
INDIC_EN_031,public/english_indictts/audio/INDIC_EN_031.wav,en,IndicTTS-English,behaviour and hospitality.
INDIC_EN_032,public/english_indictts/audio/INDIC_EN_032.wav,en,IndicTTS-English,he received me like a very close.
INDIC_EN_033,public/english_indictts/audio/INDIC_EN_033.wav,en,IndicTTS-English,yet devoted flower.
INDIC_EN_034,public/english_indictts/audio/INDIC_EN_034.wav,en,IndicTTS-English,taking the small suitcase from my hand.
INDIC_EN_035,public/english_indictts/audio/INDIC_EN_035.wav,en,IndicTTS-English,and placing it gently on the stool.
INDIC_EN_036,public/english_indictts/audio/INDIC_EN_036.wav,en,IndicTTS-English,clearing the dusty layer that had formed.
INDIC_EN_037,public/english_indictts/audio/INDIC_EN_037.wav,en,IndicTTS-English,on the previously cleaned few articles of furniture.
INDIC_EN_038,public/english_indictts/audio/INDIC_EN_038.wav,en,IndicTTS-English,with his gamocha removing the lid from the glass of.
INDIC_EN_039,public/english_indictts/audio/INDIC_EN_039.wav,en,IndicTTS-English,water and saying to me the dust on the road.
INDIC_EN_040,public/english_indictts/audio/INDIC_EN_040.wav,en,IndicTTS-English,must have troubled you a lot.
INDIC_EN_041,public/english_indictts/audio/INDIC_EN_041.wav,en,IndicTTS-English,as i removed patches of dust with an.
INDIC_EN_042,public/english_indictts/audio/INDIC_EN_042.wav,en,IndicTTS-English,old towel and wanted to say something.
INDIC_EN_043,public/english_indictts/audio/INDIC_EN_043.wav,en,IndicTTS-English,bhabaprasad said the road has not been.
INDIC_EN_044,public/english_indictts/audio/INDIC_EN_044.wav,en,IndicTTS-English,gravelled for a long time.
INDIC_EN_045,public/english_indictts/audio/INDIC_EN_045.wav,en,IndicTTS-English,about ten or fifteen years ago i.
INDIC_EN_046,public/english_indictts/audio/INDIC_EN_046.wav,en,IndicTTS-English,had raised the matter with an officer during his.
INDIC_EN_047,public/english_indictts/audio/INDIC_EN_047.wav,en,IndicTTS-English,visit here a few days later two truckloads of.
INDIC_EN_048,public/english_indictts/audio/INDIC_EN_048.wav,en,IndicTTS-English,tone chips were sent here one truckload was utilised.
INDIC_EN_049,public/english_indictts/audio/INDIC_EN_049.wav,en,IndicTTS-English,by the ranger at his bungalow and the remaining.
INDIC_EN_050,public/english_indictts/audio/INDIC_EN_050.wav,en,IndicTTS-English,ships were scattered here and there.
INDIC_EN_051,public/english_indictts/audio/INDIC_EN_051.wav,en,IndicTTS-English,now there are no traces of those.
INDIC_EN_052,public/english_indictts/audio/INDIC_EN_052.wav,en,IndicTTS-English,stone ships left i knew that bhabaprasad wanted to let me.
INDIC_EN_053,public/english_indictts/audio/INDIC_EN_053.wav,en,IndicTTS-English,know about his connections with important people.
INDIC_EN_054,public/english_indictts/audio/INDIC_EN_054.wav,en,IndicTTS-English,that was natural because unless.
INDIC_EN_055,public/english_indictts/audio/INDIC_EN_055.wav,en,IndicTTS-English,something very important cropped up.
INDIC_EN_056,public/english_indictts/audio/INDIC_EN_056.wav,en,IndicTTS-English,there was no chance of any officer visiting this.
INDIC_EN_057,public/english_indictts/audio/INDIC_EN_057.wav,en,IndicTTS-English,isolated place and even if anyone came.
INDIC_EN_058,public/english_indictts/audio/INDIC_EN_058.wav,en,IndicTTS-English,there was no option for him but.
INDIC_EN_059,public/english_indictts/audio/INDIC_EN_059.wav,en,IndicTTS-English,to put up with the round the clock hospitality and company.
INDIC_EN_060,public/english_indictts/audio/INDIC_EN_060.wav,en,IndicTTS-English,of bhabaprasad which i had by now understood.
INDIC_EN_061,public/english_indictts/audio/INDIC_EN_061.wav,en,IndicTTS-English,how often do officers and VIPs come here.
INDIC_EN_062,public/english_indictts/audio/INDIC_EN_062.wav,en,IndicTTS-English,they hardly come.
INDIC_EN_063,public/english_indictts/audio/INDIC_EN_063.wav,en,IndicTTS-English,for quite sometime now no one has.
INDIC_EN_064,public/english_indictts/audio/INDIC_EN_064.wav,en,IndicTTS-English,visited this place.
INDIC_EN_065,public/english_indictts/audio/INDIC_EN_065.wav,en,IndicTTS-English,why should anyone leave the comforts of.
INDIC_EN_066,public/english_indictts/audio/INDIC_EN_066.wav,en,IndicTTS-English,city life and come to this jungle apart from.
INDIC_EN_067,public/english_indictts/audio/INDIC_EN_067.wav,en,IndicTTS-English,the poor condition of the roads there is also.
INDIC_EN_068,public/english_indictts/audio/INDIC_EN_068.wav,en,IndicTTS-English,no human habitation upto a distance of three to.
INDIC_EN_069,public/english_indictts/audio/INDIC_EN_069.wav,en,IndicTTS-English,four furlongs from this bungalow.
INDIC_EN_070,public/english_indictts/audio/INDIC_EN_070.wav,en,IndicTTS-English,the village people must be engaged in agriculture.
INDIC_EN_071,public/english_indictts/audio/INDIC_EN_071.wav,en,IndicTTS-English,i asked the question like a researcher in social.
INDIC_EN_072,public/english_indictts/audio/INDIC_EN_072.wav,en,IndicTTS-English,science not that i had any intention of.
INDIC_EN_073,public/english_indictts/audio/INDIC_EN_073.wav,en,IndicTTS-English,acquiring a thorough knowledge of the lifestyle of the.
INDIC_EN_074,public/english_indictts/audio/INDIC_EN_074.wav,en,IndicTTS-English,village folk because that information would be of no.
INDIC_EN_075,public/english_indictts/audio/INDIC_EN_075.wav,en,IndicTTS-English,help in the official work for which i had.
INDIC_EN_076,public/english_indictts/audio/INDIC_EN_076.wav,en,IndicTTS-English,come here and i didnt think it would help.
INDIC_EN_077,public/english_indictts/audio/INDIC_EN_077.wav,en,IndicTTS-English,at least in expanding my knowledge my real intention.
INDIC_EN_078,public/english_indictts/audio/INDIC_EN_078.wav,en,IndicTTS-English,was to keep bhabaprasad busy in the room for.
INDIC_EN_079,public/english_indictts/audio/INDIC_EN_079.wav,en,IndicTTS-English,some more time because if he left there would.
INDIC_EN_080,public/english_indictts/audio/INDIC_EN_080.wav,en,IndicTTS-English,be no one to talk to.
INDIC_EN_081,public/english_indictts/audio/INDIC_EN_081.wav,en,IndicTTS-English,no reply came from bhabaprasad.
INDIC_EN_082,public/english_indictts/audio/INDIC_EN_082.wav,en,IndicTTS-English,maybe he was a bit hard of.
INDIC_EN_083,public/english_indictts/audio/INDIC_EN_083.wav,en,IndicTTS-English,hearing he concentrated on opening the two windows.
INDIC_EN_084,public/english_indictts/audio/INDIC_EN_084.wav,en,IndicTTS-English,the mouth eaten certains hung distortedly no visitor.
INDIC_EN_085,public/english_indictts/audio/INDIC_EN_085.wav,en,IndicTTS-English,must have noticed them for a long time.
INDIC_EN_086,public/english_indictts/audio/INDIC_EN_086.wav,en,IndicTTS-English,or even if the tattered curtains had.
INDIC_EN_087,public/english_indictts/audio/INDIC_EN_087.wav,en,IndicTTS-English,attracted attention.
INDIC_EN_088,public/english_indictts/audio/INDIC_EN_088.wav,en,IndicTTS-English,no thought must have been given to.
INDIC_EN_089,public/english_indictts/audio/INDIC_EN_089.wav,en,IndicTTS-English,get them replaced.
INDIC_EN_090,public/english_indictts/audio/INDIC_EN_090.wav,en,IndicTTS-English,you have nothing to fear about the monkeys.
INDIC_EN_091,public/english_indictts/audio/INDIC_EN_091.wav,en,IndicTTS-English,they have become like domestic animals.
INDIC_EN_092,public/english_indictts/audio/INDIC_EN_092.wav,en,IndicTTS-English,bhabaprasad said disinterestedly.
INDIC_EN_093,public/english_indictts/audio/INDIC_EN_093.wav,en,IndicTTS-English,do they cause any harm or disturbance fear.
INDIC_EN_094,public/english_indictts/audio/INDIC_EN_094.wav,en,IndicTTS-English,of animals had always troubled me.
INDIC_EN_095,public/english_indictts/audio/INDIC_EN_095.wav,en,IndicTTS-English,although i didnt show much anxiety while.
INDIC_EN_096,public/english_indictts/audio/INDIC_EN_096.wav,en,IndicTTS-English,asking the question.
INDIC_EN_097,public/english_indictts/audio/INDIC_EN_097.wav,en,IndicTTS-English,i knew that i had an unfounded.
INDIC_EN_098,public/english_indictts/audio/INDIC_EN_098.wav,en,IndicTTS-English,fear of monkeys.
INDIC_EN_099,public/english_indictts/audio/INDIC_EN_099.wav,en,IndicTTS-English,to overcome that fear.
INDIC_EN_100,public/english_indictts/audio/INDIC_EN_100.wav,en,IndicTTS-English,they wont do anything if left alone.
