prompt_id,category,text,speaker_id
TA001,tamil,எனக்கு ஒரு கார் புக் செய்ய வேண்டும்.,S01
TA002,tamil,நான் சென்னை சென்ட்ரல் செல்ல வேண்டும்.,S01
TA003,tamil,ஓட்டுநர் இன்னும் வரவில்லை.,S01
TA004,tamil,என் வண்டி எப்போது வரும்?,S01
TA005,tamil,பயணத்தை ரத்து செய்ய வேண்டும்.,S01
TA006,tamil,என் இருப்பிடத்திற்கு வண்டியை அனுப்புங்கள்.,S01
TA007,tamil,ஓட்டுநரின் தொலைபேசி எண்ணை சொல்லுங்கள்.,S01
TA008,tamil,நான் விமான நிலையம் செல்ல வேண்டும்.,S01
EN001,english,I would like to book a cab.,S01
EN002,english,Please send a cab to my current location.,S01
EN003,english,I need to go to Chennai Central.,S01
EN004,english,I need a cab to the airport.,S01
EN005,english,When will my driver arrive?,S01
EN006,english,My driver has not arrived yet.,S01
EN007,english,Where is my cab right now?,S01
EN008,english,Please connect me with the driver.,S01
TG001,tanglish,எனக்கு ஒரு cab book பண்ணணும்.,S01
TG002,tanglish,Airportக்கு ஒரு cab வேணும்.,S01
TG003,tanglish,Driver இன்னும் வரல.,S01
TG004,tanglish,என் cab எப்ப வரும்?,S01
TG005,tanglish,Booking cancel பண்ணணும்.,S01
TG006,tanglish,என் current locationக்கு cab அனுப்புங்க.,S01
TG007,tanglish,Driver phone number share பண்ணுங்க.,S01
TG008,tanglish,Chennai Centralக்கு போகணும்.,S01
TG009,tanglish,Cab இப்ப எங்க இருக்கு?,S01
TG010,tanglish,Driverக்கு call பண்ண முடியுமா?,S01
TG011,tanglish,என் booking confirm ஆயிடுச்சா?,S01
TG012,tanglish,Driver வர இன்னும் எவ்வளவு time ஆகும்?,S01
TR001,transportation_entity,Your cab will arrive at 7:30 PM.,S01
TR002,transportation_entity,உங்கள் cab காலை 6:15 மணிக்கு வரும்.,S01
TR003,transportation_entity,Pickup time is 8:45 AM.,S01
TR004,transportation_entity,Driver மாலை 5:30 மணிக்கு வருவார்.,S01
TR005,transportation_entity,"Your ride is scheduled for September 5, 2026.",S01
TR006,transportation_entity,உங்கள் booking 05/09/2026 அன்று உள்ளது.,S01
TR007,transportation_entity,The estimated travel time is 45 minutes.,S01
TR008,transportation_entity,Driver இன்னும் 12 minutesல வந்துருவார்.,S01
TR009,transportation_entity,Your total fare is ₹650.,S01
TR010,transportation_entity,உங்கள் fare ₹450 ஆகும்.,S01
TR011,transportation_entity,The estimated fare is Rs 725.,S01
TR012,transportation_entity,"Airportக்கு total fare ₹1,250 ஆகும்.",S01
TA009,tamil,வண்டி எங்கே இருக்கிறது?,S02
TA010,tamil,ஓட்டுநருடன் என்னை இணைக்க முடியுமா?,S02
TA011,tamil,என் பயணம் உறுதி செய்யப்பட்டதா?,S02
TA012,tamil,இன்னும் எவ்வளவு நேரம் ஆகும்?,S02
TA013,tamil,நான் பத்து நிமிடங்களாக காத்திருக்கிறேன்.,S02
TA014,tamil,வண்டி இன்னும் வரவில்லை.,S02
TA015,tamil,வேறு வண்டியை அனுப்ப முடியுமா?,S02
TA016,tamil,நான் செல்ல வேண்டிய இடத்தை மாற்ற வேண்டும்.,S02
EN009,english,I want to cancel my booking.,S02
EN010,english,Can you send another driver?,S02
EN011,english,I want to change my pickup location.,S02
EN012,english,I want to change my destination.,S02
EN013,english,My driver is at the wrong location.,S02
EN014,english,Please share the driver's phone number.,S02
EN015,english,Is my booking confirmed?,S02
EN016,english,How long will the driver take to arrive?,S02
TG013,tanglish,நான் ten minutesஆ wait பண்ணிட்டு இருக்கேன்.,S02
TG014,tanglish,வேற driver assign பண்ணுங்க.,S02
TG015,tanglish,Pickup location change பண்ணணும்.,S02
