sample_id,audio_path,gender,transcript
PUB_TA_F_001,audio/female/PUB_TA_F_001.wav,female,தமிழ்நாட்டில் பாடசாலைகள் மீண்டும் திறப்பு
PUB_TA_F_002,audio/female/PUB_TA_F_002.wav,female,செப்டம்பர் பதினேழு வியாழக் கிழமை விநாயகர் சதுர்த்தி
PUB_TA_F_003,audio/female/PUB_TA_F_003.wav,female,வெற்றிமாறனின் அசிஸ்டெண்ட் மணிகண்டன் சித்தார்த் நடிக்கும் தேசிய நெடுஞ்சாலை என்ற படத்தை இயக்குகிறார்
PUB_TA_F_004,audio/female/PUB_TA_F_004.wav,female,பொலிவியத் தலைவர் பயணம் செய்த விமானத்தில் சோதனை ஐநாவிடம் முறையிட முடிவு
PUB_TA_F_005,audio/female/PUB_TA_F_005.wav,female,பல முன்னணி விளையாட்டு வீரர்களின் ஜாதகத்தைப் பார்த்ததில் இதில் உண்மை இருப்பது கண்டறிந்தோம்
PUB_TA_F_006,audio/female/PUB_TA_F_006.wav,female,உலகின் மிகக் குறைந்த விலை வீடுகளை அமைக்க டாட்டா நிறுவனம் திட்டம்
PUB_TA_F_007,audio/female/PUB_TA_F_007.wav,female,கோவில் தேரை எரித்ததும் தலித் வீடுகளைக் கொளுத்தியதும் கண்டனத்துக்குரியதாகும்
PUB_TA_F_008,audio/female/PUB_TA_F_008.wav,female,சவுந்தரராஜனிடம் என்னால் தாக்குப்பிடிக்க முடியாது என்று பயமுறுத்தினர்
PUB_TA_F_009,audio/female/PUB_TA_F_009.wav,female,முதல் மூன்று நாளில் ஐந்து லட்சத்தி அறுபத்தைந்தாயிரம் வசூலித்துள்ளது
PUB_TA_F_010,audio/female/PUB_TA_F_010.wav,female,இந்தியப் பெருங்கடலில் சீனா ராணுவத் தளம் அமைக்க முடிவு
PUB_TA_F_011,audio/female/PUB_TA_F_011.wav,female,அமெரிக்காவில் வால் ஸ்ட்ரீட் ஆக்கிரமிப்பு போராட்டங்கள் நாடெங்கும் பரவியது
PUB_TA_F_012,audio/female/PUB_TA_F_012.wav,female,முக நூல் காதலால் விபரீதம்
PUB_TA_F_013,audio/female/PUB_TA_F_013.wav,female,தெலுங்கு மொழி இந்தியாவின் ஆந்திரப் பிரதேச மாநிலத்தில் அதிக அளவில் பேசும் மொழி
PUB_TA_F_014,audio/female/PUB_TA_F_014.wav,female,ரேபீஸ் நோயை கட்டுப்படுத்த புதிய மருந்து கண்டுபிடிப்பு
PUB_TA_F_015,audio/female/PUB_TA_F_015.wav,female,மே இருபத்தி ஒன்று பயங்கரவாத எதிர்ப்பு தினம்
